ID_PRO;ID_CLAS;ID_UN_MED;DESCRICAO;OBSERVACAO;ESTOQUE_MIN;PERECIVEL;QTD_EMBALAGEM
50;12;1;LAPISEIRA 0,5 MM;;12;-1;1
51;12;1;LAPISEIRA 0,7 MM;;12;-1;1
52;11;1;CANETA MARCA TEXTO;;12;-1;1
53;1;1;LIVRO DE CAIXA;;5;-1;1
54;12;2;MINA 0,5 MM;;5;-1;1
55;35;1;PASTA AZ LL;;100;-1;1
56;34;1;PASTA PLÀSTICA C/ABA;;50;-1;1
57;106;1;PASTA SUSPENSA MARMORIZADA;;100;-1;1
58;4;2;PERCEVEJO;;10;-1;100
59;21;1;PORTA CANETA;;5;-1;1
60;20;1;PRANCHETA DE MADEIRA;;5;-1;1
61;45;1;RÉGUA 30 CM;;10;-1;1
62;45;1;RÉGUA 50 CM;;10;-1;1
63;104;1;ROLETE ENTINTADOR IR40 T;;5;-1;1
64;104;1;ROLETE ENTINTADOR LP 45;;5;-1;1
65;104;1;ROLETE ENTINTADOR LP 12;;5;-1;1
66;108;10;ARROZ 1KG;;100;0;1
67;93;27;ÁGUA SANITÁRIA;;100;0;12
68;93;27;DESINFETANTE 2 L;;100;0;6
69;78;13;SABÃO EM PÓ 500 G;;100;0;20
70;109;1;DETERGENTE 500 ML;;200;0;24
72;108;10;FEIJÃO 1 KG;;200;0;1
73;110;13;MACARRÃO;;100;0;1
74;21;1;PORTA CLIPS;;5;-1;1
75;18;1;PORTA DISQUETE 100 UND C/CHAVE;;5;-1;1
76;20;1;PRANCHETA POLIETILENO CRISTAL;;10;-1;1
77;10;1;TINTA PARA CARIMBO AZUL;;20;0;12
78;10;1;TINTA PARA CARIMBO PRETA;;20;0;12
79;10;1;TINTA PARA CARIMBO VERMELHA;;20;0;12
80;88;27;ÁLCOOL 1 L;;30;0;9
81;82;1;BALDE PLÁSTICO 10 L;;15;-1;1
82;95;1;DESODOR SANITÁRIO;;30;0;1
83;94;1;DESODORIZADOR BOM AR;;40;0;10
84;91;13;ESPONJA DE AÇO C/8 UND;;100;-1;8
85;85;1;FLANELA;;30;-1;12
86;83;1;LIXEIRA TELADA;;10;-1;1
87;77;1;PÁ PLÁSTICA DE LIXO;;10;-1;1
88;96;13;PAPEL HIGIÊNICO 12X4X1;;120;-1;12
89;96;13;PAPEL HIGIÊNICO 16X4X1;;112;-1;16
90;96;13;PAPEL TOALHA C/2 UND;;150;-1;1
91;75;1;RODO DE MADEIRA;;20;-1;1
92;79;1;SABÃO EM BARRA 200 G;;50;0;5
93;81;27;SABONETE LIQUIDO 1 L;;50;0;1
94;98;13;SACO P/ LIXO 30 L C/100;;40;-1;100
95;98;13;SACO P/ LIXO 50 L C/100;;40;-1;100
96;111;1;SODA CAUSTICA 350 G;;10;0;1
97;111;1;SODA CAUSTICA 500 G;;10;0;1
98;71;1;VASSOURA DE PALHA;;20;-1;1
99;71;1;VASSOURA DE PÊLO;;10;-1;1
100;71;1;VASSOURA DE PIAÇAVA;;30;-1;1
101;71;1;VASSOURINHA PIAÇAVA;;20;-1;1
102;112;20;FÓSFORO;;50;-1;10
103;113;1;PANO DE PRATO;;40;-1;1
104;114;27;ÁCIDO MURIÁTICO 1000 ML;;10;0;1
105;115;14;LUVA DE BORRACHA;;10;-1;1
106;115;2;LUVA P/ PROCEDIMENTO CIRUGICO C/100;;30;-1;100
107;116;2;MÁSCARA DE PROTEÇÃO RESPIRATÓRIA C/50;;30;-1;50
108;116;1;ÓCULOS DE SEGURANÇA;;10;-1;1
109;52;2;FITA P/ IMPRESORA FX 2150 C/2 UND;;5;-1;2
110;47;1;TONER ORIGINAL HP LASERJET 1020;;3;0;1
111;47;1;TONER ORIGINAL HP LASERJET 2100;;3;0;1
112;2;1;AGENDA PERMANENTE;;10;-1;1
113;4;2;ALFINETE P/ MAPA;;10;-1;100
114;5;1;ALMOFADA PARA CARIMBO AZUL;;5;-1;1
115;5;1;ALMOFADA PARA CARIMBO PRETA;;5;-1;1
116;5;1;ALMOFADA PARA CARIMBO VERMELHA;;5;-1;1
118;117;1;BARBANTE;;20;-1;1
119;26;19;BLOCO ADESIVO 76 X 102;;20;-1;1
120;26;19;BLOCO DE REQUISIÇÃO DE CÓPIAS;;30;-1;1
121;26;19;BLOCO DE REQUISIÇÃO DE MATERIAL;;30;-1;1
122;29;9;CARTOLINA;;30;-1;1
125;3;2;CLIPS Nº 1;;5;-1;100
126;3;2;CLIPS Nº 4;;5;-1;50
127;3;2;CLIPS Nº 8;;5;-1;25
128;3;2;CLIPS PLÁSTICO;;1;-1;50
129;32;1;COLA BRANCA 1 KG;;0;-1;1
131;38;1;ENVELOPE TIMBRADO 116X229;;1;-1;1
132;38;1;ENVELOPE TIMBRADO 240X340;;1;-1;1
133;40;1;LÂMINA P/ ESTILETE LARGA;;5;-1;1
134;54;1;CD RW ( REGRAVÁVEL);;10;-1;1
135;53;1;CD R ( GRAVÁVEL);;10;-1;1
136;24;2;ETIQUETA ADESIVA 50 X 100;;2;-1;20
137;120;1;FITA ADESIVA DUPLA FACE 12 X 30;;10;-1;1
138;120;1;FITA ADESIVA DUPLA FACE 19 X 30;;5;-1;1
139;30;1;FITA CREPE 19 X 30;;5;-1;1
140;25;2;FORMULARIO CONTINUO 1 VIA;;10;-1;900
141;25;2;FORMULARIO CONTINUO 2 VIA;;10;-1;900
142;25;2;FORMULARIO CONTINUO 80 COL 3 VIAS;;10;-1;2000
143;39;1;GRAMPEADOR 240 FLS;;1;-1;1
144;3;2;GRAMPO 23/13 C/1000;;5;-1;1000
145;1;1;LIVRO DE ATA  C/100 FLS;;2;-1;1
146;12;1;MINA 0.7 MM;;10;-1;12
147;12;2;MINA 0.9 MM;;10;-1;12
148;29;2;PAPEL LINHO C/50 LFS;;5;-1;50
149;29;9;PAPEL MADEIRA;;20;-1;1
151;29;8;PAPEL PAUTADO;;50;-1;10
152;29;2;PAPEL VERGE DIAMANTE;;5;-1;100
153;35;1;PASTA AZ LE;;50;-1;20
154;34;1;PASTA C/ ELÁSTICO POLIONDA 35 MM;;5;-1;1
155;34;1;PASTA C/ ELÁSTICO POLIONDA 55 MM;;5;-1;1
156;34;1;PASTA DE PAPELÃO C/ABA;;10;-1;1
157;34;1;PASTA DE PAPELÃO S/ FERRAGEM;;20;-1;1
158;4;2;PERCEVEJO C/100;;5;-1;100
159;39;1;PERFURADOR 150 FLS;;4;-1;1
160;14;1;PINCEL ATÔMICO;;5;-1;12
161;201;1;PINCEL CHATO;;5;-1;1
162;14;1;PINCEL P/QUADRO BRANCO;;1;-1;1
163;46;1;CARTUCHO HP 3745 SERIES PRETO;;2;0;1
164;26;19;BLOCO ADESIVO COLORIDO;;5;-1;100
165;23;1;BOBINA P/ FAX;;10;-1;1
166;24;13;ETIQUETA 35 X 105;;2;-1;20
167;31;1;FITA ADESIVA TRANSPARENTE 19X30;;5;-1;1
168;3;2;GRAMPO 23/10 C/5000;;5;-1;5000
169;3;2;GRAMPO 23/6 C/1000;;5;-1;1000
170;34;1;PASTA PLÁSTICA C/ TRILHO;;10;-1;1
171;94;1;DESINFETANTE P/ AMBIENTE 90 ML;;1;0;1
172;89;1;ESPONJA DUPLA FACE;;5;-1;1
173;92;1;LIMPADOR INSTANTANEO 500 ML;;5;0;1
174;87;1;LUSTRA MÓVEIS 200 ML;;10;0;1
175;84;1;PANO DE CHÃO;;10;-1;1
176;76;1;RODO DE PLÁSTICO C/BORRACHA;;5;-1;1
177;98;13;SACO P/ LIXO 100 L C/100;;5;-1;100
178;98;13;SACO P/ LIXO 15 L C/100;;5;-1;100
179;121;1;CHIP PARA FAX MODEM;;0;-1;1
180;125;7;TINTA DELACRYL - PISOS 0.9 L;;0;0;1
181;125;7;TINTA LATEX 3,6L;;0;-1;1
182;126;7;TINNER 0,9L;;0;-1;1
183;65;1;MOUSE PS2;;1;-1;1
184;26;19;BLOCO ADESIVO 76X76;;1;-1;1
185;26;19;BLOCO ADESIVO 38X51 C/4 UND;;1;-1;4
186;127;1;SALGADOS;;0;0;1
187;127;1;LANCHES;;0;0;1
188;127;1;TORTA GRANDE;;0;0;1
189;127;1;TORTA PEQUENA;;0;0;1
190;127;1;TORNA MÉDIA;;0;0;1
191;127;1;PIPOCA DOCE;;0;0;20
192;127;1;PIPOCA SALGADA;;0;0;2
193;128;1;REFRIGERANTE 2L;;0;0;1
194;130;11;LONA PRETA 06X100 54 KG;;1;-1;1
195;50;1;CARTUCHO DE CÓPIAS PARA M15 (CPL);;1;-1;1
196;131;1;CABEÇA DE IMPRESSÃO FX 2170/FX 2180;;0;-1;1
197;131;1;BASE ESTAÇÃO DE LIMPEZA PARA HP 600;;1;-1;1
198;131;1;ELEVADOR HP 600;;1;-1;1
199;131;1;ABSORVENTE HP 600;;1;-1;1
200;101;13;COPO DESCARTÁVEL 180ML;;0;-1;100
201;102;13;GUARDANAPO 18X22;;0;-1;50
202;133;1;CAMISA EM PV;;0;-1;1
203;133;1;CAMISA POLO;;0;-1;1
204;101;13;COPO DESCARTÁVEL 150 ML;;0;-1;100
205;101;13;COPO DESCARTÁVEL 100 ML;;0;-1;100
206;46;1;CARTUCHO HP 840 SERIES PRETO;;0;0;1
207;46;1;CARTUCHO HP 840 SERIES COLOR;;0;0;1
208;127;1;CACHORRO QUENTE;;0;0;1
209;138;1;BANANA;;0;0;1
210;138;1;MELANCIA;;0;0;1
211;138;1;LARANJA;;0;0;1
212;138;10;MAMÃO;;0;0;1
213;137;10;BATATA INGLESA;;0;0;1
214;137;10;BATATA DOCE;;0;0;1
215;137;10;CENOURA;;0;0;1
216;137;10;CEBOLA;;0;0;1
217;137;10;BETERRABA;;0;0;1
218;137;10;ABÓBORA;;0;0;1
219;137;10;INHAME;;0;0;1
220;137;10;CHUCHU;;0;0;1
221;139;18;COENTRO;;0;0;1
222;139;18;CEBOLINHA;;0;0;1
223;139;18;COUVE;;0;0;1
224;80;1;SABONETE 90G;;0;-1;1
225;99;1;BUTIJÃO DE GÁS 13 KG;;0;-1;1
226;140;1;BOLA HANDEBOL FEMININO;;0;-1;1
227;140;1;BOLA HANDEBOL MASCULINO;;0;-1;1
228;140;1;BOLA FUTEBOL DE CAMPO;;0;-1;1
229;140;1;BOLA VOLLEY;;0;-1;1
230;140;1;BOLA FUTSAL;;0;-1;1
231;141;1;BOMBA EM METAL P/ ENCHER BOLA;;0;-1;1
232;141;1;BICO PARA BOMBA ENCHER BOLA;;0;-1;1
233;142;1;APITO CROMADO;;0;-1;1
234;143;10;CARNE DE BOI;;0;0;1
235;143;10;FRANGO INTEIRO;;0;0;1
236;143;10;FRANGO (COXA/SOBRECOXA);;0;0;1
237;143;10;CARNE MOÍDA;;0;0;1
238;143;10;FÍGADO;;0;0;1
239;144;1;PLONTAGEM EM BLINDEX;;0;-1;1
240;50;1;CARTUCHO DE IMPRESSÃO PARA S428 (ADM);;0;-1;1
242;145;1;OVOS BRANCO UND;;0;0;12
243;133;1;CAMISAS ESPECIAL OMNI G218;;0;-1;1
244;147;1;GARRAFA TÉRMICA 1000 ML;;0;-1;1
245;148;2;LÁPIS DE COR;;0;-1;12
246;148;1;O PATINHO FEIO;;0;-1;1
247;148;1;O PEQUENO POLEGAR;;0;-1;1
248;148;1;O SOLDADINHO DE CHUMBO;;0;-1;1
249;148;1;OS MÚSICOS DE BREMEN;;0;-1;1
250;148;1;OS TRÊS PORQUINHOS;;0;-1;1
251;148;1;PETER PAN;;0;-1;1
252;148;1;PINÓQUIO;;0;-1;1
253;148;1;RAPUNZEL;;0;-1;1
254;148;1;SINBAD O MARUJO;;0;-1;1
255;148;1;JOÃO E MARIA;;0;-1;1
256;148;1;A BELA ADORMECIDA;;0;-1;1
257;148;1;A BELA E A FERA;;0;-1;1
258;148;1;A PEQUENA SEREIA;;0;-1;1
259;148;1;A PRINCESA E O SAPO;;0;-1;1
260;148;1;ALADIM;;0;-1;1
261;148;1;ALI BABÁ E OS 40 LADRÕES;;0;-1;1
262;148;1;AS VIAGENS DE GULLIVER;;0;-1;1
263;148;1;BAMBI;;0;-1;1
264;148;1;BRANCA DE NEVE;;0;-1;1
265;148;1;CACHINHOS DOURADOS E OS TRÊS URSOS;;0;-1;1
266;148;1;CHAPEUZINHO VERMELHO;;0;-1;1
267;148;1;CINDERELA;;0;-1;1
268;148;1;JOÃO E O PÉ DE FEIJÃO;;0;-1;1
269;148;1;O FLAUTISTA DE HARMELIM;;0;-1;1
270;131;1;PAINEL FRONTAL HP 640 SERIES;;0;-1;1
271;121;1;CHIP DE LEXMARKE 230;;0;-1;1
272;130;11;LONA PLÁSTICA 1X4 VERMELHA;;0;-1;1
273;149;1;CADEADO 30 MM;;0;-1;1
275;3;2;GRAMPO ROCAMA;;0;-1;5000
276;39;1;GRAMPEADOR ROCAMA;;0;-1;1
277;66;1;HD IDE 80 GB;;0;-1;1
278;58;16;PLACA MÃE;;0;-1;1
279;59;1;PROCESSADOR INTEL 2.66 GHZ;;0;-1;1
280;61;1;MEMÓRIA 512 MB;;0;-1;1
281;62;1;FONTE ATX 500W;;0;-1;1
282;46;1;CARTUCHO HP 49 COLOR;;0;-1;1
283;46;1;CARTUCHO HP 20 PRETO;;0;-1;1
284;150;1;BOCAL DE LOUÇA;;0;-1;1
285;150;16;BOCAL COM ADAPTADOR;;0;-1;1
286;150;16;LUMINÁRIA ABERTA PADRÃO;;0;-1;1
287;150;16;PARAFUSO P/ FIXAÇÃO DE LUMINÁRIA C/PORCA;;0;-1;1
288;150;16;BRAÇO C/ BASE P/ ILUMINAÇÃO PÚBLICA;;0;-1;1
289;151;1;CARTÕES DE FESTEJOS NATALINOS;;0;-1;0
290;152;1;ÁGUA MINERAL 20 L;;0;-1;12
291;153;11;CABO FLEXIVEL SIL 4.00MM;;0;-1;1
292;154;1;MOTOR PARTIDA;;0;-1;1
293;154;1;ROLAMENTO BRAÇO SUSPENSÃO;;0;-1;1
294;154;22;PEDAL ACELERADOR;;0;-1;1
295;154;1;PORCA SEXTAVADA M8 BICROMATIZADA;;0;-1;1
296;154;1;ARRUELA LISA;;0;-1;1
297;154;1;FLEX FREIO;;0;-1;1
298;154;1;PARABRISA;;0;-1;1
299;154;1;PARAFUSO SEXTAVADO 8X40MM;;0;-1;1
300;156;27;QUEROSENE;;0;-1;1
301;154;1;PLATINADO;;0;-1;1
302;154;1;LÂMPADA FAROLETE 12V;;0;-1;1
303;154;1;LÂMPADA 2 POLOS;;0;-1;1
304;154;1;SOQUETE COM GARRA;;0;-1;1
305;154;1;PENEIRA DO CARTER;;0;-1;1
306;154;1;BOTÃO DE PARTIDA;;0;-1;1
307;154;1;COIFA SEMI-EIXO;;0;-1;1
308;154;1;VELA IGNIÇÃO;;0;-1;1
309;154;1;ACOPLAMENTO CÂMBIO;;0;-1;1
310;154;1;CABO VELOCÍMETRO;;0;-1;1
311;154;1;FUSÍVEL DE LOUÇA 30 AMP;;0;-1;1
312;154;1;FILTRO DE AR;;0;-1;1
313;154;1;RELÊ PISCA 3 PINOS;;0;-1;1
314;154;1;CHAVE DE LUZ;;0;-1;1
315;154;1;INTERRUPTOR RÉ;;0;-1;1
316;154;1;INTERRUPTOR ÓLEO;;0;-1;1
317;154;1;PARAFUSO FIX PARALAMA C/ FLANGE;;0;-1;1
318;154;1;TAMBOR DE FREIO C/ CUBO TRASEIRO;;0;-1;1
319;154;22;PASTILHA DE FREIO;;0;-1;1
320;154;1;BUCHA VARÃO;;0;-1;1
321;154;1;CABO PARA AUTO 16MM;;0;-1;1
322;154;1;SOQUETE COM GARRA 2 POLOS;;0;-1;1
323;154;1;TAMPA CARTER;;0;-1;1
324;154;1;LENTE LANTERNA DIANTEIRA;;0;-1;1
325;157;27;ÓLEO LUBRIFICANTE 90;;0;-1;1
326;157;27;ÓLEO LUBRIFICANTE 250;;0;-1;1
327;157;27;ÓLEO LUBRIFICANTE 40;;0;-1;1
328;157;27;ÓLEO LUBRIFICANTE 140;;0;-1;1
329;157;27;FLUIDO DE FREIO;;0;-1;1
330;157;27;GRAXA;;0;-1;1
331;154;1;BOMBA DE COMBUSTÍVEL;;0;-1;1
332;154;1;BOBINA DE IGNIÇÃO;;0;-1;1
333;154;1;PIVÔ SUSPENSÃO SUPERIOR;;0;-1;1
334;154;1;PIVÔ SUSPENSÃO INFERIOR;;0;-1;1
335;154;29;ROLAMENTO RODA TRASEIRA;;0;-1;1
336;154;1;FAROL PRINCIPAL LD/LE;;0;-1;1
337;154;1;PINO MESTRE SUPERIOR SEM ROLAMENTO;;0;-1;1
338;154;1;PINO MESTRE INFERIOR SEM ROLAMENTO;;0;-1;1
339;154;1;AMORTECEDOR TRASEIRO;;0;-1;1
340;154;1;LÂMPADA FAROL H4;;0;-1;1
341;154;1;CONDENSADOR;;0;-1;1
342;154;1;DESACARBONIZANTE;;0;-1;1
343;154;1;BUZINA UNIVERSAL;;0;-1;1
344;154;1;LENTE LANTERNA TRASEIRA;;0;-1;1
345;154;29;ADAPTADOR LANTERNA TRASEIRA;;0;-1;1
346;154;1;LÂMPADA 1 POLO;;0;-1;1
347;154;1;BATERIA 45 AMP;;0;-1;1
348;154;1;ABRAÇADEIRA PLÁSTICA;;0;-1;1
349;154;1;PARAFUSO SEXTAVADO 6X20MM;;0;-1;1
350;154;1;BOLA CÂMBIO;;0;-1;1
351;154;1;FILTRO COMBUSTÍVEL;;0;-1;1
352;154;1;PARAFUSO SEXTAVADO 12X80MM;;0;-1;1
353;154;1;TERMINAL DE ENCAIXE;;0;-1;1
354;154;1;PORCA SEMI EIXO SEM FLANGE;;0;-1;1
355;154;1;PARAFUSO CÂMARA SPRING;;0;-1;1
356;154;1;REPARO QA 1100;;0;-1;1
357;154;1;MANGUEIRA INFERIOR RADIADOR;;0;-1;1
358;154;1;RELÊ PISCA;;0;-1;1
359;154;1;ROLAMENTO ALTERNADOR;;0;-1;1
360;154;1;ABRAÇADEIRA 44X57;;0;-1;1
361;154;1;ROLAMENTO INDUSTRIAL;;0;-1;1
362;154;1;PORTA ESCOVA;;0;-1;1
363;154;1;ROLAMENTO ALTERNADOR GOL;;0;-1;1
364;154;1;SILICONE ALTA TEMPERATURA;;0;-1;1
365;154;1;ADESIVO P/ JUNTAS;;0;-1;1
366;154;1;BATERIA 80 AMP;;0;-1;1
367;154;1;BATERIA 100 AMP;;0;-1;1
368;154;1;CÂMARA DE AR 17,5X25;;0;-1;1
369;154;1;VIDRO DA PORTA;;0;-1;1
370;154;1;MANCAL SUPERIOR;;0;-1;1
371;154;1;APLICADOR SUPERIOR;;0;-1;1
372;154;1;ELEMENTO DO F;;0;-1;1
373;154;1;VEDAÇÃO;;0;-1;1
374;154;1;PORCA SEXTAVADA;;0;-1;1
375;154;1;MANCAL DE BORRACHA;;0;-1;1
376;154;1;ESTOPA;;0;-1;1
377;154;1;PORCA DE RETENTOR;;0;-1;1
378;154;1;CONTRA PINO;;0;-1;1
379;154;1;ANEL DE VEDAÇÃO;;0;-1;1
380;154;1;PRISIONEIRO M;;0;-1;1
381;154;1;CLIP;;0;-1;1
382;154;1;PINHÃO DE CIRCUITO;;0;-1;1
383;154;1;PLACA;;0;-1;1
384;154;1;DISCO SINTETIZ;;0;-1;1
385;154;1;TAMPA;;0;-1;1
386;154;1;SINCRONIZADOR;;0;-1;1
387;154;1;ROLAMENTO;;0;-1;1
388;154;1;CONECTOR;;0;-1;1
389;154;1;CONVERSOR;;0;-1;1
390;154;1;ESCAPADOR;;0;-1;1
391;154;1;ARRUELA;;0;-1;1
392;154;1;COLA SILICONE;;0;-1;1
393;154;1;MOLA;;0;-1;1
394;154;1;EIXO;;0;-1;1
395;154;1;PLACA 7D;;0;-1;1
396;154;1;ROLAMENTO 7D;;0;-1;1
397;127;1;PIRULITOS PADRONIZADOS;;0;-1;0
398;150;1;FITA ISOLANTE 19MM;;0;-1;1
399;98;13;SACO P/ LIXO 50 L C/10;;0;-1;10
400;96;1;PAPEL HIGIÊNICO C/ 1;;0;-1;0
401;155;1;CAMARA AR TRAS.TITAN;;0;-1;0
402;155;1;PNEU TRAS. TITAN;;0;-1;0
403;11;1;CANETA DE TINTA PRETA;;0;-1;50
404;46;1;CARTUCHO HP 640 SERIES PRETO;;0;0;1
405;119;2;COLCHETE PEQUENO;;0;-1;0
406;52;2;FITA P/ IMPRESSORA LX 300;;1;-1;1
407;158;1;FITA PARA MAQUINA DE ESCREVER;;0;-1;1
408;159;1;CABO USB;;0;-1;1
409;65;1;MOUSE ÓPTICO;;0;-1;1
410;63;1;BATERIA PARA CPU 2032;;0;-1;1
411;25;2;FORMULARIO CONTINUO 3 VIAS PERSONALIZADO;RECIBO DE PAGAMENTO;5;-1;2000
412;160;11;PLÁSTICO ADESIVO CONTACT;;0;-1;0
413;34;1;PASTA DE PAPELÃO C/ TRILHO;;0;-1;0
414;39;1;PERFURADOR SIMPLES;;0;-1;0
415;161;1;PROTETOR LABIAL;;0;0;1
416;161;1;BLOQUEADOR SOLAR FATOR Nº 30 -120 ML;;0;0;1
417;162;1;HERC REPARO REG. SOLD. 1/2;;0;-1;1
418;150;16;LÂMPADA INCANDECENTE 60 X 127V;;0;-1;1
419;163;1;FECHADURA ALIANÇA F2600/70 IP;;0;-1;1
420;163;1;DOBRADIÇA ROCHA FG 1201 31/2 C/3;;0;-1;3
421;164;1;DISJUNTOR UNIPOLAR 25 A;;0;-1;1
422;165;1;COLA PLÁSTICA 800G;;0;0;1
423;166;1;LIXA FERRO 80;;0;-1;1
424;167;1;SIFÃO SSA 11/2 X11/2;;0;-1;1
425;136;1;TONER RECARGA LASERJET 1010;;1;-1;1
426;136;1;TONER RECARGA LASRJET 1060;;1;-1;1
427;168;16;FAX MODEM ENCORE;;0;-1;1
428;156;27;LENHA;;0;-1;1
429;169;1;QUENTINHA;;0;-1;1
430;154;1;BORRACHA ESCAPAMENTO;;0;-1;1
431;154;1;CABO EMBREAGEM GOL;;0;-1;1
432;154;1;KIT EMBREAGEM;;0;-1;1
433;154;1;BUJÃO CARTER GOL;;0;-1;1
434;131;1;CABO BLACK HP 600;;0;-1;1
435;131;1;ENCODER HP 600;;0;-1;1
436;157;27;ÓLEO LUBRIFICANTE 20;;0;-1;1
437;154;1;JUNTA TAMPA VALVULA;;0;-1;1
438;154;1;MANGUEIRA RESPIRO;;0;-1;1
439;154;1;GARFO  EMBREAGEM;;0;-1;1
440;154;1;VÁLVULA PRESSÃO ÓLEO;;0;-1;1
441;154;1;CORREIA DISTRIBUIÇÃO;;0;-1;1
442;154;1;REGULADOR DE PRESSÃO;;0;-1;1
443;154;1;BRONZINA MANCAL;;0;-1;1
444;154;1;POLIA TENSORA;;0;-1;1
445;157;27;ADITIVO PARA RADIADOR;;0;-1;1
446;154;1;BOMBA DE ÓLEO;;0;-1;1
447;154;1;BOMBA D'AGUA;;0;-1;1
448;154;1;JOGO JUNTA MOTOR;;0;-1;1
449;154;1;PISTÃO COM ANEL;;0;-1;1
450;154;1;RETENTOR HASTE;;0;-1;1
451;154;1;RETENTOR VIREBREQUIM;;0;-1;1
452;154;1;BRONZINA DE BIELA;;0;-1;1
453;154;1;ANEL AJUSTE ALTERNADOR;;0;-1;1
454;154;1;PORCA SEXTAVADA M5;;0;-1;1
455;154;1;ANTI CHAMA;;0;-1;1
457;154;1;GARFO SINCRONIZADO;;0;-1;1
458;150;16;REATOR EXTERNO 70W;;5;-1;1
459;150;16;REATOR VAPOR SÓDIO 250W;;5;-1;1
460;150;16;REATOR EXTERNO 400W;;5;-1;1
461;150;16;LÂMPADA OVÓIDE V. SÓDIO 70W;;5;-1;1
462;150;16;LÂMPADA OVÓIDE V. SÓDIO 150W;;5;-1;1
463;150;16;LÂMPADA OVÓIDE V. SÓDIO 250W;;5;-1;1
464;150;16;LÂMPADA OVÓIDE V. SÓDIO 400W;;5;-1;1
465;150;16;REATOR VAPOR SÓDIO 150W;;5;-1;1
466;170;26;CALÇA E CAMISA EM BRIM;EPI;10;-1;1
467;171;14;LUVA NITRILON;;1;-1;2
468;171;1;RESPIRADOR;;20;-1;1
469;172;2;BALAS ERLAN DURA RECH SORTIDAS 400G;;0;0;50
470;171;1;COLETE;;2;-1;1
471;171;14;BOTINA ELÁSTICO;;2;-1;2
472;172;13;BOMBONS GAROTO SORTIDOS 400G;;0;0;20
473;172;13;SALGADINHO CROCKBOM QUEIJO C/14;;0;0;14
475;172;13;PIPOCA DOCE CROCKBOM C/14;;0;0;14
476;172;13;PIRULITO FLORESTAL FLOPITO 250G;;0;0;50
477;172;13;PIRULITO PECCIN MAÇA DO AMOR 528G;;0;0;50
478;172;13;PIRULITO PECCIN CREME POP SORTIDO 600G;;0;0;50
479;172;13;PIRULITO PECCIN CREME POP NAPOLIT 600G;;0;0;50
480;127;1;DOCES;;0;-1;1
